Total_iter,Step,Picking,Placing,Pick-Reaching,Pick-Grasping,Place-Reaching,Place-Releasing
   1,   1,0.738825,0.261175,0.427708,0.311117,0.000000,0.261175
   2,   2,0.716838,0.283162,0.439749,0.277088,0.000000,0.283162
   3,   3,0.677107,0.322893,0.351597,0.325510,0.000000,0.322893
   4,   4,0.860236,0.139764,0.357286,0.502950,0.000000,0.139764
   5,   5,0.989823,0.010177,0.399418,0.590405,0.000000,0.010177
   6,   6,0.998828,0.001172,0.449190,0.549637,0.000000,0.001172
   7,   7,0.999563,0.000437,0.500504,0.499059,0.000000,0.000437
   8,   8,0.999679,0.000321,0.614675,0.385004,0.000000,0.000321
   9,   9,0.999612,0.000388,0.601817,0.397795,0.000000,0.000388
  10,  10,0.999635,0.000366,0.790645,0.208989,0.000000,0.000366
  11,  11,0.999678,0.000323,0.805949,0.193728,0.000000,0.000323
  12,  12,0.999640,0.000360,0.780360,0.219280,0.000000,0.000360
  13,  13,0.999821,0.000179,0.888997,0.110824,0.000000,0.000179
  14,  14,0.999914,0.000086,0.944072,0.055842,0.000000,0.000086
  15,  15,0.999975,0.000025,0.997294,0.002681,0.000000,0.000025
  16,  16,0.999986,0.000014,0.999384,0.000601,0.000000,0.000014
  17,  17,0.999978,0.000022,0.999162,0.000817,0.000000,0.000022
  18,  18,0.999991,0.000009,0.999962,0.000029,0.000000,0.000009
  19,  19,0.999996,0.000004,0.999995,0.000001,0.000000,0.000004
  20,  20,0.999996,0.000004,0.999996,0.000000,0.000000,0.000004
  21,  21,0.999996,0.000004,0.999996,0.000000,0.000000,0.000004
  22,  22,0.999996,0.000004,0.999996,0.000000,0.000000,0.000004
  23,  23,0.999998,0.000002,0.999998,0.000000,0.000000,0.000002
  24,  24,0.999998,0.000002,0.999998,0.000000,0.000000,0.000002
  25,  25,0.999999,0.000001,0.999999,0.000000,0.000000,0.000001
  26,  26,0.999999,0.000001,0.999999,0.000000,0.000000,0.000001
  27,  27,0.000336,0.999664,0.000336,0.000000,0.000000,0.999664
  28,  28,0.999605,0.000395,0.999605,0.000000,0.000000,0.000395
  29,  29,0.999658,0.000343,0.999658,0.000000,0.000000,0.000343
  30,  30,0.999570,0.000430,0.999570,0.000000,0.000000,0.000430
  31,  31,0.280914,0.719086,0.280914,0.000000,0.000000,0.719086
  32,  32,0.999595,0.000405,0.999595,0.000000,0.000000,0.000405
  33,  33,0.383832,0.616168,0.383832,0.000000,0.000000,0.616168
  34,  34,0.999640,0.000360,0.999640,0.000000,0.000000,0.000360
  35,  35,0.414648,0.585352,0.414648,0.000000,0.000000,0.585352
  36,  36,0.999587,0.000413,0.999587,0.000000,0.000000,0.000413
  37,  37,0.492710,0.507290,0.492710,0.000000,0.000000,0.507290
  38,  38,0.999393,0.000607,0.999393,0.000000,0.000000,0.000607
  39,  39,0.560963,0.439037,0.560963,0.000000,0.000000,0.439037
  40,  40,0.632759,0.367241,0.632759,0.000000,0.000000,0.367241
  41,  41,0.672868,0.327132,0.672868,0.000000,0.000000,0.327132
  42,  42,0.725021,0.274979,0.725021,0.000000,0.000000,0.274979
  43,  43,0.722812,0.277188,0.722812,0.000000,0.000000,0.277188
  44,  44,0.776417,0.223583,0.776417,0.000000,0.000000,0.223583
  45,  45,0.998141,0.001859,0.998141,0.000000,0.000000,0.001859
  46,  46,0.997921,0.002079,0.997920,0.000000,0.000000,0.002079
  47,  47,0.718118,0.281882,0.718118,0.000000,0.000000,0.281882
  48,  48,0.997780,0.002220,0.997778,0.000003,0.000000,0.002220
  49,  49,0.996005,0.003995,0.996000,0.000005,0.000000,0.003995
  50,  50,0.996862,0.003138,0.996846,0.000016,0.000000,0.003138
  51,  51,0.721834,0.278166,0.721834,0.000000,0.000000,0.278166
  52,  52,0.995593,0.004407,0.995324,0.000269,0.000000,0.004407
  53,  53,0.692380,0.307620,0.692380,0.000000,0.000000,0.307620
  54,  54,0.995203,0.004797,0.993313,0.001890,0.000000,0.004797
  55,  55,0.704220,0.295780,0.704220,0.000000,0.000000,0.295780
  56,  56,0.993875,0.006125,0.986499,0.007376,0.000000,0.006125
  57,  57,0.769831,0.230169,0.769831,0.000000,0.000000,0.230169
  58,  58,0.995172,0.004828,0.977143,0.018029,0.000000,0.004828
  59,  59,0.669211,0.330789,0.669211,0.000000,0.000000,0.330789
  60,  60,0.996550,0.003450,0.952817,0.043733,0.000000,0.003450
  61,  61,0.997594,0.002406,0.912679,0.084915,0.000000,0.002406
  62,  62,0.414369,0.585631,0.414369,0.000000,0.000000,0.585631
  63,  63,0.998076,0.001924,0.901390,0.096686,0.000000,0.001924
  64,  64,0.999026,0.000974,0.893259,0.105768,0.000000,0.000974
  65,  65,0.999154,0.000846,0.879940,0.119214,0.000000,0.000846
  66,  66,0.999189,0.000811,0.878917,0.120272,0.000000,0.000811
  67,  67,0.999376,0.000624,0.875374,0.124002,0.000000,0.000624
  68,  68,0.999303,0.000698,0.861870,0.137432,0.000000,0.000698
  69,  69,0.999605,0.000395,0.880190,0.119415,0.000000,0.000395
  70,  70,0.006797,0.993203,0.006797,0.000000,0.000000,0.993203
  71,  71,0.997265,0.002735,0.818442,0.178824,0.000000,0.002735
  72,  72,0.998683,0.001317,0.808985,0.189699,0.000000,0.001317
  73,  73,0.999564,0.000436,0.796278,0.203286,0.000000,0.000436
  74,  74,0.999645,0.000355,0.785771,0.213874,0.000000,0.000355
  75,  75,0.999660,0.000340,0.793007,0.206653,0.000000,0.000340
  76,  76,0.999766,0.000234,0.806238,0.193527,0.000000,0.000234
  77,  77,0.999874,0.000126,0.817650,0.182224,0.000000,0.000126
  78,  78,0.999956,0.000044,0.812024,0.187933,0.000000,0.000044
  79,  79,0.999985,0.000014,0.828304,0.171681,0.000000,0.000014
  80,  80,0.999992,0.000007,0.828896,0.171097,0.000000,0.000007
  81,  81,0.999991,0.000009,0.815146,0.184845,0.000000,0.000009
  82,  82,0.999994,0.000006,0.812210,0.187784,0.000000,0.000006
  83,  83,0.999997,0.000003,0.832313,0.167684,0.000000,0.000003
  84,  84,0.999994,0.000006,0.809646,0.190348,0.000000,0.000006
  85,  85,0.999998,0.000002,0.829278,0.170720,0.000000,0.000002
  86,  86,0.999997,0.000003,0.798072,0.201925,0.000000,0.000003
  87,  87,0.999997,0.000003,0.771083,0.228915,0.000000,0.000003
  88,  88,0.999999,0.000001,0.749287,0.250712,0.000000,0.000001
  89,  89,1.000000,0.000000,0.740396,0.259604,0.000000,0.000000
  90,  90,1.000000,0.000000,0.716931,0.283069,0.000000,0.000000
  91,  91,1.000000,0.000000,0.678433,0.321567,0.000000,0.000000
  92,  92,1.000000,0.000000,0.672852,0.327148,0.000000,0.000000
  93,  93,1.000000,0.000000,0.634311,0.365689,0.000000,0.000000
  94,  94,1.000000,0.000000,0.587072,0.412928,0.000000,0.000000
  95,  95,1.000000,0.000000,0.586532,0.413468,0.000000,0.000000
  96,  96,1.000000,0.000000,0.551167,0.448833,0.000000,0.000000
  97,  97,1.000000,0.000000,0.515395,0.484605,0.000000,0.000000
  98,  98,1.000000,0.000000,0.476750,0.523250,0.000000,0.000000
  99,  99,1.000000,0.000000,0.436428,0.563572,0.000000,0.000000
 100, 100,1.000000,0.000000,0.364204,0.635796,0.000000,0.000000
 101, 101,1.000000,0.000000,0.325021,0.674979,0.000000,0.000000
 102, 102,1.000000,0.000000,0.307456,0.692544,0.000000,0.000000
 103, 103,1.000000,0.000000,0.292484,0.707516,0.000000,0.000000
 104, 104,1.000000,0.000000,0.281100,0.718900,0.000000,0.000000
 105, 105,1.000000,0.000000,0.282109,0.717891,0.000000,0.000000
 106, 106,1.000000,0.000000,0.271935,0.728065,0.000000,0.000000
 107, 107,1.000000,0.000000,0.257722,0.742278,0.000000,0.000000
 108, 108,1.000000,0.000000,0.237464,0.762536,0.000000,0.000000
 109, 109,1.000000,0.000000,0.223211,0.776789,0.000000,0.000000
 110, 110,1.000000,0.000000,0.231956,0.768044,0.000000,0.000000
 111, 111,1.000000,0.000000,0.209111,0.790889,0.000000,0.000000
 112, 112,1.000000,0.000000,0.214149,0.785851,0.000000,0.000000
 113, 113,1.000000,0.000000,0.190483,0.809517,0.000000,0.000000
 114, 114,1.000000,0.000000,0.191247,0.808753,0.000000,0.000000
 115, 115,1.000000,0.000000,0.162739,0.837261,0.000000,0.000000
 116, 116,1.000000,0.000000,0.151033,0.848967,0.000000,0.000000
 117, 117,1.000000,0.000000,0.133696,0.866304,0.000000,0.000000
 118, 118,1.000000,0.000000,0.100872,0.899128,0.000000,0.000000
 119, 119,1.000000,0.000000,0.093297,0.906703,0.000000,0.000000
 120, 120,1.000000,0.000000,0.075960,0.924040,0.000000,0.000000
 121, 121,1.000000,0.000000,0.098819,0.901181,0.000000,0.000000
 122, 122,1.000000,0.000000,0.101826,0.898174,0.000000,0.000000
 123, 123,1.000000,0.000000,0.124851,0.875149,0.000000,0.000000
 124, 124,1.000000,0.000000,0.123792,0.876208,0.000000,0.000000
 125, 125,1.000000,0.000000,0.123424,0.876576,0.000000,0.000000
 126, 126,1.000000,0.000000,0.120502,0.879498,0.000000,0.000000
 127, 127,1.000000,0.000000,0.135268,0.864732,0.000000,0.000000
 128, 128,1.000000,0.000000,0.117288,0.882712,0.000000,0.000000
 129, 129,1.000000,0.000000,0.148104,0.851896,0.000000,0.000000
 130, 130,1.000000,0.000000,0.143197,0.856803,0.000000,0.000000
 131, 131,1.000000,0.000000,0.115195,0.884805,0.000000,0.000000
 132, 132,1.000000,0.000000,0.098616,0.901384,0.000000,0.000000
 133, 133,1.000000,0.000000,0.075404,0.924595,0.000000,0.000000
 134, 134,1.000000,0.000000,0.019462,0.980538,0.000000,0.000000
 135, 135,1.000000,0.000000,0.001952,0.998047,0.000000,0.000000
 136, 136,1.000000,0.000000,0.000688,0.999312,0.000000,0.000000
 137, 137,1.000000,0.000000,0.000045,0.999955,0.000000,0.000000
 138, 138,1.000000,0.000000,0.000008,0.999992,0.000000,0.000000
 139, 139,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
 140, 140,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
 141, 141,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
 142, 142,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
 143, 143,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
 144, 144,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
 145, 145,0.999999,0.000001,0.000000,0.999999,0.000000,0.000001
 146, 146,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
 147, 147,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
 148, 148,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
 149, 149,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
 150, 150,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
 151, 151,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
 152, 152,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
 153, 153,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
 154, 154,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
 155, 155,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
 156, 156,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
 157, 157,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
 158, 158,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000
 159, 159,0.999879,0.000121,0.000000,0.999879,0.000000,0.000121
 160, 160,0.624644,0.375356,0.000000,0.624644,0.000000,0.375356
 161, 161,0.022427,0.977573,0.000000,0.022427,0.000000,0.977573
 162, 162,0.000484,0.999516,0.000000,0.000484,0.000000,0.999516
 163, 163,0.000044,0.999956,0.000000,0.000044,0.000000,0.999956
 164, 164,0.000007,0.999993,0.000000,0.000007,0.000000,0.999993
 165, 165,0.000086,0.999914,0.000000,0.000086,0.000000,0.999914
 166, 166,0.002538,0.997462,0.000000,0.002538,0.000000,0.997462
 167, 167,0.040258,0.959742,0.000000,0.040258,0.000000,0.959742
 168, 168,0.007742,0.992258,0.000000,0.007742,0.000000,0.992258
 169, 169,0.003711,0.996289,0.000000,0.003711,0.000000,0.996289
 170, 170,0.103422,0.896578,0.000000,0.103422,0.000000,0.896578
 171, 171,0.079371,0.920629,0.000000,0.079371,0.000000,0.920629
 172, 172,0.000797,0.999203,0.000000,0.000797,0.000000,0.999203
