Total_iter,Step,Reaching,Grasping
   1,   1,0.999992,0.000008
   2,   2,0.999992,0.000008
   3,   3,0.999981,0.000019
   4,   4,0.999868,0.000132
   5,   5,0.999793,0.000207
   6,   6,0.999703,0.000297
   7,   7,0.999595,0.000405
   8,   8,0.999522,0.000478
   9,   9,0.999326,0.000674
  10,  10,0.999270,0.000730
  11,  11,0.998861,0.001139
  12,  12,0.998845,0.001155
  13,  13,0.997217,0.002783
  14,  14,0.997407,0.002593
  15,  15,0.996174,0.003826
  16,  16,0.994963,0.005037
  17,  17,0.989295,0.010705
  18,  18,0.992196,0.007804
  19,  19,0.989253,0.010747
  20,  20,0.984937,0.015063
  21,  21,0.973858,0.026142
  22,  22,0.972893,0.027107
  23,  23,0.946709,0.053291
  24,  24,0.923312,0.076688
  25,  25,0.879282,0.120718
  26,  26,0.844521,0.155479
  27,  27,0.774539,0.225460
  28,  28,0.736930,0.263070
  29,  29,0.709949,0.290051
  30,  30,0.652788,0.347212
  31,  31,0.627432,0.372568
  32,  32,0.684846,0.315154
  33,  33,0.717865,0.282135
  34,  34,0.758881,0.241119
  35,  35,0.710353,0.289647
  36,  36,0.731129,0.268871
  37,  37,0.678315,0.321685
  38,  38,0.737058,0.262942
  39,  39,0.706818,0.293182
  40,  40,0.711023,0.288977
  41,  41,0.667178,0.332822
  42,  42,0.725820,0.274180
  43,  43,0.723205,0.276795
  44,  44,0.729850,0.270150
  45,  45,0.707338,0.292662
  46,  46,0.720780,0.279220
  47,  47,0.741456,0.258544
  48,  48,0.731413,0.268587
  49,  49,0.744871,0.255129
  50,  50,0.739062,0.260938
  51,  51,0.755825,0.244175
  52,  52,0.738444,0.261556
  53,  53,0.720009,0.279991
  54,  54,0.702450,0.297550
  55,  55,0.689517,0.310483
  56,  56,0.663050,0.336950
  57,  57,0.655756,0.344244
  58,  58,0.643409,0.356591
  59,  59,0.617401,0.382599
  60,  60,0.578822,0.421178
  61,  61,0.554029,0.445971
  62,  62,0.542567,0.457433
  63,  63,0.490996,0.509004
  64,  64,0.450102,0.549898
  65,  65,0.437991,0.562009
  66,  66,0.431502,0.568498
  67,  67,0.392477,0.607523
  68,  68,0.366130,0.633870
  69,  69,0.346577,0.653423
  70,  70,0.309669,0.690331
  71,  71,0.265666,0.734334
  72,  72,0.247064,0.752936
  73,  73,0.223837,0.776163
  74,  74,0.215719,0.784281
  75,  75,0.212977,0.787023
  76,  76,0.208685,0.791315
  77,  77,0.217938,0.782062
  78,  78,0.249032,0.750968
  79,  79,0.290597,0.709403
  80,  80,0.331995,0.668005
  81,  81,0.301679,0.698321
  82,  82,0.276260,0.723740
  83,  83,0.156266,0.843734
  84,  84,0.181655,0.818345
  85,  85,0.110011,0.889989
  86,  86,0.006408,0.993592
  87,  87,0.003509,0.996491
  88,  88,0.002544,0.997456
  89,  89,0.000236,0.999764
  90,  90,0.000000,1.000000
  91,  91,0.000000,1.000000
  92,  92,0.000000,1.000000
  93,  93,0.000000,1.000000
  94,  94,0.000000,1.000000
  95,  95,0.000000,1.000000
  96,  96,0.000000,1.000000
  97,  97,0.000000,1.000000
  98,  98,0.000000,1.000000
  99,  99,0.000000,1.000000
 100, 100,0.000000,1.000000
 101, 101,0.000000,1.000000
 102, 102,0.000000,1.000000
 103, 103,0.000000,1.000000
 104, 104,0.000000,1.000000
 105, 105,0.000000,1.000000
 106, 106,0.000000,1.000000
 107, 107,0.000000,1.000000
 108, 108,0.000000,1.000000
 109, 109,0.000000,1.000000
