Wall time,Step,Value
1621483052.8637664,17273,-1.0
1621483248.5492733,26844,-1.0
1621483272.8195136,28078,-1.0
1621483443.996753,36298,-1.0
1621483601.4391394,43825,-1.0
1621484013.0274777,62874,-1.0
1621484042.1125677,64136,-1.0
1621484070.00139,65485,-1.0
1621484458.8716547,83938,-1.0
1621484493.3289292,85582,-1.0
1621484597.1293285,90346,-1.0
1621484672.4866204,94082,-1.0
1621484882.8235896,104154,-1.0
1621484890.431442,104537,-1.0
1621484989.9224725,109208,-1.0
1621485098.4937375,114325,-1.0
1621485119.7053578,115362,-1.0
1621485269.461256,122500,-1.0
1621485615.1759949,138833,-1.0
1621485762.8547437,145886,-1.0
1621486009.1093907,157912,-1.0
1621486044.4239113,159633,-1.0
1621486059.2627125,160355,-1.0
1621486065.12909,160628,-1.0
1621486065.5887341,160649,-1.0
1621486113.560354,162989,-1.0
1621486132.2049122,163910,-1.0
1621486151.566727,164861,-1.0
1621486175.1247184,166019,-1.0
1621486253.8384402,169451,-1.0
1621486521.3994255,181835,-1.0
1621486558.9959881,183646,-1.0
1621486726.6476588,191465,-1.0
1621486739.6426706,192078,-1.0
1621486761.3309271,193115,-1.0
1621486791.1401865,194522,-1.0
1621486792.4425788,194586,-1.0
1621486855.077965,197546,-1.0
1621486963.4429994,202569,-1.0
1621486980.4353733,203383,-1.0
1621487160.4520614,211828,-1.0
1621487440.7649386,225491,-1.0
1621487508.3629827,228720,-1.0
1621487511.0022275,228847,-1.0
1621487529.5799258,229724,-1.0
1621487552.7403781,230783,-1.0
1621487580.819972,232159,-1.0
1621487589.7131324,232589,-1.0
1621487614.3986635,233763,-1.0
1621487919.6341002,247836,-1.0
1621487948.8672826,249135,-1.0
1621488029.4668782,252927,-1.0
1621488046.8745582,253795,-1.0
1621488060.0653725,254408,-1.0
1621488223.495654,262278,-1.0
1621488234.827764,262820,-1.0
1621488236.4609935,262904,-1.0
1621488272.4833958,264611,-1.0
1621488310.2279766,266466,-1.0
1621488860.7866135,291331,-1.0
1621489020.479677,298982,-1.0
1621489423.52325,317987,-1.0
1621489436.780047,318605,-1.0
1621489491.2602797,321288,-1.0
1621489504.3710597,321939,-1.0
1621489867.938245,339364,-1.0
1621489990.7719471,345286,-1.0
1621490366.8734863,363323,-1.0
1621490494.6521297,369622,-1.0
1621490609.4235725,375206,-1.0
1621491075.7439828,397171,-1.0
1621491247.1127675,404850,-1.0
1621491395.6049116,411576,-1.0
1621491638.886312,422924,-1.0
1621491813.1686728,430933,-1.0
1621491849.0676193,432712,-1.0
1621491929.0795155,436244,-1.0
1621491992.2873454,439142,-1.0
1621492172.7871401,447243,-1.0
1621492498.8016367,462815,-1.0
1621492840.4665346,479573,-1.0
1621492959.2600772,485172,-1.0
1621493088.2417285,491444,-1.0
1621493146.461573,494006,-1.0
1621493326.8401618,502214,-1.0
1621493360.502749,503767,-1.0
1621493375.6983285,504534,-1.0
1621494054.79032,536069,-1.0
1621494577.3788085,559293,-1.0
1621494841.1854084,571037,-1.0
1621494937.4331498,575522,-1.0
1621495102.5754683,583227,-1.0
1621495106.6146398,583427,-1.0
1621495148.8846493,585502,-1.0
1621495446.5512288,599470,-1.0
1621495602.3125446,606884,-1.0
1621495633.1957715,608406,-1.0
1621495647.8646457,609140,-1.0
1621495971.2137296,624951,-1.0
1621496168.6151261,633924,-1.0
1621496410.990694,644963,-1.0
1621496820.2086678,662946,-1.0
1621496846.586879,664146,-1.0
1621496913.459171,667009,-1.0
1621496952.5200458,668650,-1.0
1621497016.822309,671488,-1.0
1621497332.4955456,686032,-1.0
1621497342.2423368,686516,-1.0
1621497546.9546242,695506,-1.0
1621497551.072939,695705,-1.0
1621497575.3138337,696873,-1.0
1621497650.8200974,700122,-1.0
1621497673.688923,701199,-1.0
1621497869.1346803,710161,-1.0
1621497904.1632218,711765,-1.0
1621497909.4846182,712034,-1.0
1621497968.7421649,714953,-1.0
1621497979.484616,715486,-1.0
1621498059.6070652,719379,-1.0
1621498067.648537,719773,-1.0
1621498082.9810224,720528,-1.0
1621498137.1442347,723126,-1.0
1621498155.1400366,724005,-1.0
1621498270.735628,729414,-1.0
1621498273.8001454,729566,-1.0
1621498275.4007907,729642,-1.0
1621498723.9008226,750406,-1.0
1621498798.0937467,753621,-1.0
1621498944.9232116,760634,-1.0
1621498986.875797,762720,-1.0
1621499004.0955784,763587,-1.0
1621499134.2994723,769834,-1.0
1621499146.2087443,770442,-1.0
1621499242.1917002,775181,-1.0
1621499245.6325026,775346,-1.0
1621499304.44147,778114,-1.0
1621499447.2764218,784985,-1.0
1621499561.2542799,790034,-1.0
1621499655.1023562,794608,-1.0
1621499742.6405187,799032,-1.0
1621499851.0659032,804407,-1.0
1621501035.7474391,860552,-20.0
1621501212.1034398,869018,-1.0
1621501537.3226657,884174,-1.0
1621501640.3377314,889138,-1.0
1621501946.3269465,903402,-1.0
1621502572.4096417,933889,-1.0
1621502650.1350274,937638,-1.0
1621503041.8158295,956169,-1.0
1621503085.8934228,958359,-1.0
1621503600.197634,982852,-1.0
1621503925.1177793,998108,-1.0
1621503987.854181,1000977,-1.0
1621504572.4281266,1027871,-1.0
1621505134.157154,1052820,-1.0
1621505255.0375414,1058297,-1.0
1621505541.0299416,1069887,-1.0
1621505571.595575,1071087,-1.0
1621505771.8757308,1080398,-1.0
1621505879.70567,1085459,-1.0
1621505927.756719,1087575,-1.0
1621505941.2988794,1088245,-1.0
1621505943.9077861,1088374,-1.0
1621505971.9875426,1089574,-1.0
1621506838.0049267,1129415,-1.0
1621507257.837306,1147789,-1.0
1621507909.1511135,1176307,-1.0
1621508197.0482063,1189167,-1.0
1621508299.049773,1193285,-1.0
1621508495.150859,1202261,-1.0
