Wall time,Step,Value
1621988808.6752582,43,-1.0
1621989009.026348,95,-1.0
1621989589.8135657,168,-1.0
1621989988.4085135,230,-1.0
1621990016.877014,235,-1.0
1621990236.0060155,274,-1.0
1621990451.9651258,311,-1.0
1621990515.9926195,319,-1.0
1621991257.427355,475,-1.0
1621991372.1798942,537,-1.0
1621991479.8765337,580,-1.0
1621991511.5169938,587,-1.0
1621991638.589778,635,-1.0
1621991667.7993984,648,-1.0
1621991808.2276678,715,-1.0
1621992042.8009698,809,-1.0
1621992464.3065026,1015,-1.0
1621992538.0644891,1067,-1.0
1621992965.8782372,1334,-1.0
1621992970.2104461,1338,-1.0
1621993040.8141022,1386,-1.0
1621993056.0118568,1393,-1.0
1621993119.2527285,1437,-1.0
1621993587.2133636,1692,-1.0
1621993668.4221365,1735,-1.0
1621993672.4987626,1738,-1.0
1621993908.0057628,1878,-1.0
1621993980.9196389,1918,-1.0
1621994231.71932,2037,-1.0
1621994339.0494194,2097,-1.0
1621994510.325662,2200,-1.0
1621994615.8567898,2263,-1.0
1621994686.759357,2308,-1.0
1621994809.3698504,2390,-1.0
1621994873.2883315,2437,-1.0
1621994946.0466301,2486,-1.0
1621994947.3102853,2487,-1.0
1621994967.1665945,2499,-1.0
1621995023.4110904,2533,-1.0
1621995249.095731,2686,-1.0
1621995327.8854976,2741,-1.0
1621995791.1575398,3039,-1.0
1621996115.4038215,3231,-1.0
1621996142.8225234,3247,-1.0
1621996256.3171535,3306,-1.0
1621996646.4582279,3619,-1.0
1621996648.2401896,3621,-1.0
1621996702.3652377,3671,-1.0
1621996766.3211586,3742,-1.0
1621996840.2681406,3815,-1.0
1621996846.1870832,3822,-1.0
1621996966.4930162,3929,-1.0
1621996993.4078085,3957,-1.0
1621997083.9887438,4037,-1.0
1621997254.1089451,4197,-1.0
1621997390.3368516,4318,-1.0
1621997491.5460358,4401,-1.0
1621997617.7271278,4493,-1.0
1621997645.6736581,4510,-1.0
1621997842.5188148,4677,-1.0
1621998009.2541664,4789,-1.0
1621998240.9936402,4972,-1.0
1621998443.73642,5107,-1.0
1621998476.5059376,5135,-1.0
1621998712.9996786,5346,-1.0
1621998730.0968907,5360,-1.0
1621998963.7214193,5550,-20.0
1621999106.5704136,5680,-1.0
1621999154.3208218,5724,-1.0
1621999244.2565506,5809,-1.0
1621999308.065853,5865,-1.0
1621999314.3457992,5872,-1.0
1621999356.7750866,5908,-1.0
1621999452.837419,5991,-1.0
1621999688.32105,6201,-1.0
1621999740.0858881,6220,-1.0
1621999822.9177814,6290,-1.0
1622000145.5996158,6575,-1.0
1622000174.229581,6604,-1.0
1622000262.6462915,6700,-1.0
1622000276.798153,6712,-1.0
1622000424.6419988,6855,-1.0
1622000543.601341,6967,-1.0
1622000727.218385,7156,-1.0
1622000980.1907728,7383,-1.0
1622001066.6796732,7461,-1.0
1622001070.4615493,7464,-1.0
1622001123.9308076,7512,-1.0
1622001420.482841,7789,-1.0
1622001430.284718,7799,-1.0
1622001466.9324667,7834,-1.0
1622001631.1910667,7992,-1.0
1622001718.2298,8067,-1.0
1622001840.6351085,8181,-1.0
1622001889.3353236,8222,-1.0
1622002063.325035,8364,-1.0
1622002076.7819161,8378,-1.0
1622002209.169888,8499,-1.0
1622002226.4927294,8509,-1.0
1622002339.4025784,8602,-1.0
1622002689.2654963,8879,-1.0
1622002752.8843224,8929,-1.0
1622002765.437539,8936,-1.0
1622002834.1463308,8994,-1.0
1622003159.0242746,9261,-1.0
1622003381.5526047,9469,-1.0
1622003477.7365835,9555,-1.0
1622003490.3261201,9568,-1.0
1622003643.4506989,9699,-1.0
1622003817.50493,9844,-1.0
1622003884.808928,9908,-1.0
1622004295.5018158,10277,-1.0
1622004304.888273,10284,-1.0
1622004433.8702836,10400,-1.0
1622004511.5778348,10480,-1.0
1622004565.202624,10523,-1.0
1622004654.8885345,10608,-1.0
1622004831.774614,10758,-1.0
1622004857.1781807,10781,-1.0
1622004996.9103422,10903,-1.0
1622005001.0988798,10906,-1.0
1622005063.9877582,10967,-1.0
1622005072.370377,10975,-1.0
1622005128.8766084,11021,-1.0
1622005227.447195,11103,-1.0
1622005579.93232,11420,-1.0
1622005630.324734,11473,-1.0
1622005695.4287505,11533,-1.0
1622005727.4034255,11567,-1.0
1622005849.1652794,11686,-1.0
1622005934.6371083,11760,-1.0
1622006161.0963461,11970,-1.0
1622006168.7368176,11975,-1.0
1622006382.5590916,12165,-1.0
1622006512.6612895,12291,-1.0
1622006940.2100902,12672,-1.0
1622007182.9337306,12878,-1.0
1622007248.993931,12940,-1.0
1622007355.2159228,13035,-1.0
1622007382.8098006,13062,-1.0
1622007439.4388032,13110,-1.0
1622007747.5216265,13403,-1.0
1622007931.4421694,13547,-1.0
1622007983.838537,13598,-1.0
1622008010.9832358,13621,-1.0
1622008234.9533713,13811,-1.0
1622008338.056001,13885,-1.0
1622008584.072416,14081,-1.0
1622008764.4410956,14222,-1.0
1622008867.9116495,14295,-1.0
1622008919.8807693,14339,-1.0
1622009047.7516363,14448,-1.0
1622009266.066362,14639,-1.0
1622009300.6293757,14669,-1.0
1622009321.952894,14688,-1.0
1622009425.6982934,14780,-1.0
1622009457.6551213,14810,-1.0
1622009525.2527678,14874,-1.0
1622009552.1099823,14893,-1.0
1622010093.6504116,15325,-1.0
1622010268.8621545,15474,-1.0
1622010270.2253373,15476,-1.0
1622010307.770256,15508,-1.0
1622010581.6855953,15741,-1.0
1622010612.7288065,15765,-1.0
1622011045.952023,16117,-1.0
1622011202.0949614,16250,-1.0
1622011296.3319826,16322,-1.0
1622011791.2236228,16698,-1.0
1622011937.1529706,16810,-1.0
1622012008.9971344,16858,-1.0
1622012064.1306784,16900,-1.0
1622012301.0475566,17067,-1.0
1622012336.983391,17098,-1.0
1622012611.2929902,17293,-1.0
1622012646.4681454,17318,-1.0
1622012680.2243116,17340,-1.0
1622012954.5256915,17544,-1.0
1622012976.039166,17558,-1.0
1622013009.4378808,17587,-1.0
1622013018.499209,17595,-1.0
1622013731.7518272,18066,-1.0
1622014268.939265,18452,-1.0
1622014933.4715247,18959,-1.0
1622015157.8100505,19117,-1.0
1622015218.948302,19170,-1.0
1622015344.4272232,19272,-1.0
1622015665.074489,19532,-1.0
1622015816.578241,19641,-1.0
1622015832.7264335,19655,-1.0
1622015954.324567,19732,-1.0
1622016148.9247153,19847,-1.0
1622016274.4392123,19939,-1.0
1622016352.7224653,19996,-1.0
1622016425.0229259,20036,-1.0
1622016458.282225,20054,-1.0
1622016476.0616207,20063,-1.0
1622016589.3518202,20139,-1.0
1622016729.282252,20245,-1.0
1622016750.2304735,20253,-1.0
1622016846.3199658,20324,-1.0
1622017035.9159985,20441,-1.0
1622017186.4363682,20540,-1.0
1622017190.1097493,20541,-1.0
1622017226.0323267,20563,-1.0
1622017248.7084966,20579,-1.0
1622017560.3237133,20780,-1.0
1622017563.9021788,20783,-1.0
1622017643.3755171,20832,-1.0
1622017680.0110633,20856,-1.0
1622017978.0203793,21081,-1.0
1622018055.650669,21145,-1.0
1622018137.5699456,21210,-1.0
1622018163.6351278,21233,-1.0
1622018291.6288428,21320,-1.0
1622018380.715867,21392,-1.0
1622018544.2031236,21524,-1.0
1622018915.296713,21849,-1.0
1622019114.7663028,22007,-1.0
1622019410.0480318,22246,-1.0
1622019464.9222643,22293,-1.0
1622019509.9577417,22331,-1.0
1622019539.84115,22359,-1.0
1622019677.0067291,22473,-1.0
1622020179.5337954,22841,-1.0
1622020597.4110694,23139,-1.0
1622020608.6746478,23149,-1.0
1622020668.2603798,23193,-1.0
1622020696.5718017,23219,-1.0
1622020770.58424,23264,-1.0
1622020796.5592492,23287,-1.0
1622020890.400646,23362,-1.0
1622020973.2794828,23428,-1.0
1622021103.326528,23541,-1.0
1622021251.1484234,23671,-1.0
1622021264.962413,23682,-1.0
1622021285.3147264,23702,-1.0
1622021549.9860249,23939,-1.0
1622021699.626793,24080,-1.0
1622021771.719432,24148,-1.0
1622021907.5601404,24283,-1.0
1622021910.3250751,24285,-1.0
1622021945.0231757,24323,-1.0
1622021966.8692467,24346,-1.0
1622022238.0522954,24622,-1.0
1622022338.5877106,24720,-1.0
1622022345.1786919,24728,-1.0
1622022529.5725636,24902,-1.0
1622022565.0111325,24935,-1.0
1622022640.5046134,25009,-1.0
1622022674.2067084,25048,-1.0
1622022762.3028255,25134,-1.0
1622022900.8444362,25254,-1.0
1622022979.321509,25333,-1.0
1622023049.2833788,25392,-1.0
1622023444.8491056,25687,-1.0
1622023612.626593,25813,-1.0
1622023648.525565,25848,-1.0
1622023744.2044091,25922,-1.0
1622023932.0439878,26067,-1.0
1622023961.85377,26092,-1.0
1622024028.517594,26156,-1.0
1622024046.4603152,26170,-1.0
1622024204.9347556,26304,-1.0
1622024309.2276556,26404,-1.0
1622024391.1493804,26471,-1.0
1622024893.465739,26798,-1.0
1622024895.1384044,26799,-1.0
1622024946.7152138,26830,-1.0
1622025426.3173075,27143,-1.0
1622025440.7571275,27155,-1.0
1622025443.905525,27159,-1.0
1622025444.582754,27160,-1.0
1622025591.8629148,27275,-1.0
1622025891.545123,27506,-1.0
1622026032.1441925,27604,-1.0
1622026058.3871546,27621,-1.0
1622026091.8688118,27639,-1.0
1622026328.6928546,27826,-1.0
1622026426.4886043,27917,-1.0
1622026461.509645,27951,-1.0
1622026491.8766913,27969,-1.0
1622026994.7739835,28322,-1.0
1622027160.4437497,28439,-1.0
1622027181.4994848,28452,-1.0
1622027319.7957516,28544,-1.0
1622027357.2064917,28573,-1.0
1622027416.639334,28612,-1.0
1622027944.8789184,28971,-1.0
1622027989.1833155,28997,-1.0
1622028064.0765297,29038,-1.0
1622028106.3446922,29063,-1.0
1622028322.7015772,29202,-1.0
1622028423.8268597,29264,-1.0
1622028728.9189537,29472,-1.0
