Wall time,Step,Value
1619161666.8056543,10719,-1.0
1619161693.8064356,11902,200.0
1619161820.946635,17484,19.0
1619161950.7930696,23196,200.0
1619162241.8059947,35678,-20.0
1619162268.5002837,36819,-1.0
1619162676.555166,52896,-1.0
1619162733.7848136,54647,-1.0
1619162883.4392812,59210,-1.0
1619163027.5454915,63331,-1.0
1619163312.0923483,72227,-1.0
1619163330.1630886,72788,-1.0
1619163411.6280203,75438,-1.0
1619164537.620203,110871,-1.0
1619165153.2090502,130825,19.0
1619165297.8824174,135420,0.0
1619166016.734768,158249,0.0
1619166356.1799765,169125,-1.0
1619166413.1908126,170964,-1.0
1619166717.7428024,180835,-1.0
1619166828.9672694,184490,-1.0
1619166986.0643723,189539,-1.0
1619167359.6282964,201447,-1.0
1619167473.2470343,205129,-1.0
1619167882.3914828,217966,0.0
1619167968.3051963,220744,-20.0
1619168017.348353,222336,-1.0
1619168058.053539,223663,-1.0
1619168256.3434,230112,-20.0
1619169319.0920765,264667,-1.0
1619169549.5507605,272172,-1.0
1619169838.448204,281439,0.0
1619170095.074245,289710,0.0
1619170909.213189,316015,-1.0
1619171730.0807579,342676,-1.0
1619172086.772608,354300,-1.0
1619172122.7809856,355448,19.0
1619172250.3964727,359545,-20.0
1619172283.020409,360620,-1.0
1619172630.3998249,371709,-1.0
1619172723.1524963,374703,0.0
1619173120.8172295,387554,-1.0
1619173340.3406513,394689,-1.0
1619173881.856511,412215,-1.0
1619174155.9651988,421206,0.0
1619174282.2459044,425292,-1.0
1619174430.7238584,430021,19.0
1619174908.293192,445395,-1.0
1619175427.529678,462114,19.0
1619175578.474387,467010,0.0
1619175682.8316205,470319,19.0
1619175849.5692716,475656,0.0
1619175867.0793624,476215,19.0
1619176244.6773503,488403,-1.0
1619176722.6620853,503412,19.0
1619176892.1124985,508775,19.0
1619176940.098849,510163,-1.0
1619176999.716504,512069,19.0
1619177395.9094594,524342,-1.0
1619177527.1752632,528365,19.0
1619177658.6302683,532593,0.0
1619178592.3964822,562449,-20.0
1619179293.062384,584890,0.0
1619180113.1048508,611287,-20.0
1619180213.2171323,614428,19.0
1619180428.80481,621356,-1.0
1619180480.7973747,623035,-1.0
1619180586.4777424,626433,-1.0
1619180654.9455655,628573,-1.0
1619181238.5611763,647738,19.0
1619181327.4600203,650605,-1.0
1619182010.4461281,672684,-20.0
1619182248.6551728,680450,-20.0
1619182360.2989209,684072,-1.0
1619182386.3610563,684928,-1.0
1619182422.3998168,686095,-20.0
1619182668.116245,694111,-1.0
1619182704.0545535,695311,-1.0
1619182770.3960419,697473,-1.0
1619182798.2345588,698360,-1.0
1619182998.1102188,704896,-1.0
1619183050.5372326,706645,19.0
1619183072.0078762,707343,19.0
1619184373.503812,749592,19.0
1619184959.884425,768643,-1.0
1619185238.3003137,777608,-1.0
1619186158.9519172,807767,180.0
1619186488.6897566,818521,-1.0
1619187006.8808093,835300,-1.0
1619187010.4412367,835405,-1.0
1619187368.346802,846893,19.0
1619187837.3271074,861970,-1.0
1619188214.5160592,873851,-20.0
1619188321.4927065,877245,-20.0
1619188324.6704283,877342,-1.0
1619188325.4376976,877367,-1.0
1619188719.5950367,889865,-20.0
1619190085.181156,933192,19.0
1619190916.151973,959761,-1.0
1619191013.8416562,962911,-1.0
1619191025.1873517,963283,-20.0
1619191212.0354786,969191,19.0
1619191609.4239273,981911,-1.0
1619191878.5112529,990518,-1.0
1619192043.829474,995627,-1.0
1619192066.1423237,996352,-1.0
1619192747.0828862,1017719,-1.0
1619192846.4431112,1020906,-1.0
1619192970.241263,1024867,-1.0
1619193209.7665393,1032538,-1.0
1619193456.0195348,1040347,-1.0
1619193968.995524,1056818,-1.0
1619194109.5658512,1061303,-20.0
1619194164.8289354,1063072,-1.0
1619194560.7709503,1075540,-1.0
1619194579.5532944,1076146,-1.0
1619195043.2908502,1090964,-1.0
1619195547.2569532,1107035,-20.0
1619195620.876467,1109388,-20.0
1619195742.6595094,1113073,-1.0
1619196282.3627017,1130432,-1.0
1619196468.0375435,1136421,-20.0
1619196488.953511,1137098,-1.0
1619196540.1721313,1138743,-1.0
1619197057.7126071,1155248,-20.0
1619197203.2732105,1159915,-20.0
1619197392.9902847,1165938,-1.0
1619197490.855391,1169091,-20.0
1619197687.7068024,1175353,-20.0
1619198009.6114984,1185617,-1.0
1619198022.3947186,1185998,-1.0
1619198531.2709088,1202242,0.0
1619198572.1866179,1203465,-1.0
1619198852.7372267,1212426,-1.0
1619198992.3827255,1216879,-1.0
1619199512.8161998,1233575,-20.0
1619200200.4898098,1254963,19.0
1619200284.090913,1257590,-20.0
1619200331.9269793,1259129,-1.0
1619200748.3321962,1271910,0.0
1619201246.8307993,1287490,-1.0
1619201382.8200936,1291788,19.0
1619202029.0582411,1312302,-1.0
1619202124.298205,1315325,-1.0
1619202371.6897233,1323234,19.0
1619202923.4980686,1340513,19.0
1619203000.4505649,1342902,-1.0
1619203011.2999654,1343247,-20.0
1619203153.5483441,1347805,19.0
1619203192.4576802,1349044,19.0
1619203382.6798434,1355146,19.0
1619203492.029277,1358684,-1.0
1619203880.8263707,1371058,0.0
1619203981.3329172,1374246,-1.0
1619204806.0255427,1400166,19.0
1619204888.4421685,1402779,0.0
1619205456.0183067,1420755,-20.0
1619205525.8035235,1422971,-20.0
1619205561.7964733,1424112,0.0
1619205646.4361331,1426740,-20.0
1619206015.0635011,1438520,-1.0
1619206171.5194452,1443461,-1.0
1619206201.507351,1444407,-1.0
1619206633.28762,1458266,-1.0
1619207437.5514627,1484448,-1.0
1619207636.3049426,1490840,-1.0
1619207774.5759244,1495249,-1.0
1619208181.1207297,1508073,19.0
1619208380.9781353,1514520,-20.0
1619208388.5498455,1514768,-1.0
1619208440.2491167,1516444,-1.0
1619208644.9718587,1522976,-1.0
1619209255.060915,1542689,-1.0
1619209339.5263226,1545415,-1.0
1619209368.2165534,1546341,-1.0
1619209978.0273118,1566393,-1.0
1619210213.7684405,1574061,19.0
1619210395.2362971,1579831,-1.0
1619210966.5232103,1597867,-1.0
1619210994.49063,1598764,-1.0
1619211361.9079993,1610231,19.0
1619211827.062077,1624915,-1.0
1619212240.0563912,1637895,19.0
1619212455.0433862,1644812,19.0
1619212607.1384206,1649701,-20.0
1619212761.213045,1654645,19.0
1619212913.6386676,1659524,-20.0
1619213276.9380057,1671192,0.0
1619213313.4265683,1672348,-1.0
1619213360.195951,1673892,-1.0
1619213455.3157558,1676911,-1.0
1619213585.974973,1681099,-20.0
1619214755.0473025,1718078,-1.0
1619214821.7966647,1720244,19.0
1619215173.3160906,1731516,-1.0
1619215411.04407,1739100,0.0
1619215471.7854373,1741049,-20.0
1619215689.6381836,1748115,-1.0
1619215994.3242218,1757993,-1.0
1619216134.6526787,1762464,-1.0
1619216439.5156734,1772078,-20.0
1619216685.4393833,1779980,-1.0
1619216904.9276838,1787025,-1.0
1619217511.400854,1806504,-20.0
1619217674.1825452,1811723,-20.0
1619217714.526438,1812996,19.0
1619218097.4072268,1825190,0.0
1619218306.8891695,1831949,-20.0
1619218443.4800289,1836335,19.0
1619218472.167297,1837255,-1.0
1619218524.4561825,1838929,19.0
1619219091.631179,1857165,19.0
1619219110.802806,1857785,0.0
1619219283.8695455,1863343,19.0
1619219332.3160648,1864913,-20.0
1619219776.4085836,1879248,-20.0
1619220072.6482315,1888802,0.0
1619220288.3781123,1895784,-1.0
1619220728.4924214,1910085,0.0
1619221572.527548,1937352,0.0
1619221595.676371,1938099,-1.0
1619221943.987654,1949394,-1.0
1619222107.6326864,1954618,19.0
1619222130.154255,1955325,-20.0
1619222290.5564992,1960430,0.0
1619222306.5577123,1960943,-1.0
1619222625.6360781,1971218,0.0
1619222724.7602415,1974232,-1.0
1619223063.0639265,1985068,-1.0
1619224466.6451876,2030234,19.0
1619224544.3290374,2032786,0.0
1619224759.8146987,2039725,-1.0
1619225240.0086558,2055097,0.0
1619225496.0656867,2063257,-1.0
1619226107.9913385,2082802,0.0
1619226117.209219,2083103,-20.0
1619226361.5831795,2090804,0.0
1619226653.569188,2099971,0.0
1619227394.0848544,2123464,-20.0
1619227470.874873,2125828,0.0
1619227584.5442462,2129379,0.0
1619228174.2711368,2148076,0.0
1619228433.286103,2156287,0.0
1619228607.3291087,2161829,0.0
1619228761.1795883,2166686,0.0
1619230140.2620296,2210084,0.0
1619230744.5054297,2229418,0.0
1619231954.8872998,2267849,0.0
1619232179.7877557,2274904,-20.0
1619232891.392891,2297649,0.0
1619233678.0697997,2322893,180.0
1619233719.932832,2324240,-20.0
1619234756.8232822,2357508,19.0
1619234781.0907505,2358284,0.0
1619234976.531887,2364505,0.0
1619235555.4805846,2382774,19.0
1619235648.7108715,2385725,19.0
1619235912.4154105,2394200,19.0
1619236862.2700663,2425485,-1.0
1619237029.6457593,2430889,0.0
1619237168.0618744,2435478,-1.0
1619237287.614288,2439359,-1.0
1619237354.4469395,2441549,-1.0
1619237639.4976737,2450840,-1.0
1619237923.8022559,2460136,-1.0
1619237928.0942366,2460278,-1.0
1619238139.9985626,2467137,-1.0
1619238406.5626438,2475800,-1.0
1619238610.1087654,2482344,19.0
1619238712.133487,2485662,-1.0
1619239155.7446752,2500088,-1.0
1619239197.5259614,2501434,-1.0
1619239492.8138547,2511048,-20.0
1619239509.0244777,2511583,19.0
1619239656.0714235,2516391,-20.0
1619239670.9761841,2516877,-1.0
1619239691.159212,2517529,0.0
1619240044.7981293,2529085,19.0
1619240112.8490803,2531307,19.0
1619240229.3474126,2535018,-1.0
1619240261.907433,2536075,-1.0
1619240792.4368105,2553140,-20.0
1619240930.2362378,2557577,0.0
1619240989.1301591,2559470,19.0
1619241576.6859343,2578279,0.0
1619241591.978004,2578769,0.0
1619241600.7006042,2579054,0.0
1619242326.4556437,2602478,-1.0
1619244501.4830632,2673347,-1.0
1619245195.154329,2695951,19.0
1619245487.8286767,2705519,19.0
1619245760.0106807,2714402,-1.0
1619245854.5096967,2717524,19.0
1619245995.2280781,2722035,-1.0
1619246129.4861562,2726353,0.0
1619246470.8311877,2737337,-1.0
1619247110.2137337,2758316,-1.0
1619247346.3223362,2766026,19.0
1619247417.9106581,2768381,-1.0
1619248086.2113452,2790058,0.0
1619249487.434924,2835769,-1.0
1619250549.2538004,2870565,-1.0
1619250569.352121,2871215,-1.0
1619251002.104059,2885337,0.0
1619251293.8776762,2894706,19.0
1619252265.0310123,2925642,0.0
1619252545.407318,2934360,0.0
1619252567.731567,2935090,0.0
1619252671.3255706,2938423,-1.0
1619253150.9187012,2953802,0.0
1619253893.651418,2977472,0.0
1619253947.5485885,2979212,0.0
1619254149.1228993,2985889,-1.0
1619255420.2861557,3027202,-1.0
1619256026.3904622,3046903,-1.0
1619256748.105054,3070207,-1.0
1619257875.3342285,3106544,0.0
1619258113.789978,3114256,-20.0
1619258559.397988,3128395,-20.0
1619258931.35065,3140205,19.0
1619259541.6728585,3159760,0.0
1619259667.3897824,3163843,-1.0
1619259908.7807279,3171596,19.0
1619260364.3477964,3186128,19.0
1619260420.7035544,3187955,-1.0
1619260618.5692267,3194333,19.0
1619260747.675844,3198490,-1.0
1619260791.8239567,3199911,19.0
1619260883.1976368,3202815,19.0
1619260921.7213368,3204056,-1.0
1619261035.346022,3207713,-1.0
1619261215.4227033,3213505,-1.0
1619261396.261581,3219364,0.0
1619261657.4225342,3227744,0.0
1619262368.8704197,3250450,19.0
1619262687.7779377,3260808,-1.0
1619262696.4377935,3261089,-1.0
1619262784.2368119,3263939,-1.0
1619263141.6196659,3275320,-1.0
1619263370.3639684,3282664,-20.0
1619263717.1827536,3293785,19.0
1619264033.9001184,3303873,0.0
1619264152.1838117,3307678,-1.0
1619264488.01181,3318484,-1.0
1619264506.0591347,3319060,-20.0
1619264983.0235403,3334300,19.0
1619265225.792387,3342056,-20.0
1619265504.7687314,3350922,-1.0
1619265808.4691508,3360541,0.0
1619266191.8626928,3372496,0.0
1619266858.671558,3393622,-1.0
1619267027.5153053,3399003,0.0
1619267182.211539,3403960,0.0
1619267898.332756,3426864,19.0
1619269016.341165,3462776,19.0
1619269598.4712145,3481487,0.0
1619269640.7406101,3482858,19.0
1619269702.9007976,3484832,-20.0
1619269851.5194602,3489411,0.0
1619269968.0844023,3493096,0.0
1619270034.224954,3495196,0.0
1619270586.1407413,3512738,-1.0
1619270964.1786826,3525055,-1.0
1619271277.4675941,3535137,-20.0
1619271574.0584223,3544771,0.0
1619271806.7789326,3552398,-1.0
1619271906.4423125,3555725,-20.0
