Wall time,Step,Value
1621988720.955482,43,-20.0
1621988744.8469586,95,-20.0
1621988780.090222,168,-20.0
1621988827.431371,230,-20.0
1621988829.0228975,235,-20.0
1621988847.2621717,274,-20.0
1621988860.8486648,311,-20.0
1621988863.630987,319,-20.0
1621988924.17341,475,-20.0
1621988952.209217,537,-20.0
1621988969.8723195,580,-20.0
1621988973.0043697,587,-20.0
1621988993.5278246,635,-20.0
1621988998.5945008,648,-20.0
1621989025.1914613,715,-20.0
1621989067.008914,809,-20.0
1621989149.2684033,1015,-20.0
1621989166.1628923,1067,-20.0
1621989260.1343184,1334,-20.0
1621989261.5258021,1338,-20.0
1621989277.5651517,1386,-20.0
1621989279.9287515,1393,-20.0
1621989294.010703,1437,-20.0
1621989382.6158361,1692,-20.0
1621989397.7867417,1735,-20.0
1621989398.6055906,1738,-20.0
1621989445.8694184,1878,-20.0
1621989458.7819958,1918,-20.0
1621989501.9245744,2037,-20.0
1621989521.4583635,2097,-20.0
1621989556.495632,2200,-20.0
1621989579.6735861,2263,-20.0
1621989595.4468155,2308,-20.0
1621989622.3347461,2390,-20.0
1621989637.7636492,2437,-20.0
1621989654.010081,2486,-20.0
1621989654.3095293,2487,-20.0
1621989658.4895053,2499,-20.0
1621989671.8373363,2533,-20.0
1621989720.9825873,2686,-20.0
1621989738.9280887,2741,-20.0
1621989843.0367482,3039,-20.0
1621989909.2546563,3231,-20.0
1621989915.2942414,3247,-20.0
1621989938.789349,3306,-20.0
1621990052.0351412,3619,-20.0
1621990052.5845358,3621,-20.0
1621990070.215991,3671,-20.0
1621990093.0741751,3742,-20.0
1621990119.0560718,3815,-20.0
1621990121.6441839,3822,-20.0
1621990157.1373801,3929,-20.0
1621990166.635479,3957,-20.0
1621990198.0254135,4037,-20.0
1621990251.8189425,4197,-20.0
1621990294.190249,4318,-20.0
1621990321.3544276,4401,-20.0
1621990354.085703,4493,-20.0
1621990362.835211,4510,-20.0
1621990422.0478427,4677,-20.0
1621990463.2034655,4789,-20.0
1621990528.938671,4972,-20.0
1621990580.089823,5107,-20.0
1621990590.0736125,5135,-20.0
1621990666.7425065,5346,-20.0
1621990671.6509912,5360,-20.0
1621990740.3382041,5550,-20.0
1621990781.1806593,5680,-20.0
1621990795.1998174,5724,-20.0
1621990823.3288634,5809,-20.0
1621990839.4483397,5865,-20.0
1621990841.2357714,5872,-20.0
1621990852.362858,5908,-20.0
1621990878.4772964,5991,-20.0
1621990946.2102842,6201,-20.0
1621990951.672405,6220,-20.0
1621990977.322645,6290,-20.0
1621991066.4380298,6575,-20.0
1621991074.6628873,6604,-20.0
1621991104.3417838,6700,-20.0
1621991108.1820037,6712,-20.0
1621991153.774745,6855,-20.0
1621991185.991734,6967,-20.0
1621991243.295832,7156,-20.0
1621991312.8251984,7383,-20.0
1621991336.0853488,7461,-20.0
1621991337.255689,7464,-20.0
1621991354.2151365,7512,-20.0
1621991437.3723836,7789,-20.0
1621991440.4148445,7799,-20.0
1621991450.4010086,7834,-20.0
1621991496.3928857,7992,-20.0
1621991521.3598948,8067,-20.0
1621991555.259819,8181,-20.0
1621991567.2946424,8222,-20.0
1621991612.0532968,8364,-20.0
1621991615.8427205,8378,-20.0
1621991652.6932776,8499,-20.0
1621991657.8034542,8509,-20.0
1621991685.661338,8602,-20.0
1621991771.2192605,8879,-20.0
1621991785.5138927,8929,-20.0
1621991787.5527,8936,-20.0
1621991804.7301435,8994,-20.0
1621991888.3634605,9261,-20.0
1621991952.7440197,9469,-20.0
1621991983.1910703,9555,-20.0
1621991987.4029334,9568,-20.0
1621992030.3524308,9699,-20.0
1621992080.2038658,9844,-20.0
1621992099.8959618,9908,-20.0
1621992227.3854482,10277,-20.0
1621992229.6951764,10284,-20.0
1621992266.311608,10400,-20.0
1621992291.6032867,10480,-20.0
1621992308.5260592,10523,-20.0
1621992335.3725166,10608,-20.0
1621992386.49189,10758,-20.0
1621992393.6985643,10781,-20.0
1621992433.711443,10903,-20.0
1621992434.620964,10906,-20.0
