Wall time,Step,Value
1622008970.407582,803,-20.0
1622008971.7591333,843,-20.0
1622008985.3418095,1251,-20.0
1622008998.0587888,1683,-20.0
1622009032.0499122,2907,-20.0
1622009060.719906,3916,-20.0
1622009062.7135053,3980,-20.0
1622009073.1506023,4342,-20.0
1622009081.2888837,4622,-20.0
1622009097.174869,5184,-20.0
1622009098.0076423,5213,-20.0
1622009102.1117103,5364,-20.0
1622009179.0825748,8061,-20.0
1622009207.5586867,9058,-20.0
1622009226.9716873,9727,-20.0
1622009230.78837,9865,-20.0
1622009254.9739711,10718,-20.0
1622009260.6546245,10907,-20.0
1622009271.590082,11288,-20.0
1622009291.4576404,11965,-20.0
1622009295.7375505,12114,-20.0
1622009329.0910294,13300,-20.0
1622009337.0430455,13581,-20.0
1622009339.7355237,13673,-20.0
1622009354.9509227,14221,-20.0
1622009417.217103,16354,-20.0
1622009437.5333028,17067,-20.0
1622009462.7594416,17955,-20.0
1622009480.7583203,18584,-20.0
1622009517.7771955,19896,-20.0
1622009558.7142887,21341,-20.0
1622009584.0263228,22223,-20.0
1622009585.5938637,22281,-20.0
1622009591.4807174,22480,-20.0
1622009593.6589599,22559,-20.0
1622009617.3848224,23379,-20.0
1622009620.3727474,23478,-20.0
1622009642.6920187,24279,-20.0
1622009657.712566,24805,-20.0
1622009686.51286,25840,-20.0
1622009699.452938,26292,-20.0
1622009707.3111105,26569,-20.0
1622009714.6495473,26821,-20.0
1622009766.3946393,28648,-20.0
1622009785.646107,29294,-20.0
1622009787.2291977,29354,-20.0
1622009838.2395082,31133,-20.0
1622009849.4838388,31537,-20.0
1622009853.7915795,31674,-20.0
1622009873.5166643,32382,-20.0
1622009881.8378623,32659,-20.0
1622009889.223369,32930,-20.0
1622009934.2123966,34538,-20.0
1622009962.1835082,35506,-20.0
1622010006.0112686,37106,-20.0
1622010011.9607122,37320,-20.0
1622010027.2892447,37855,-20.0
1622010030.496479,37966,-20.0
1622010042.409837,38387,-20.0
1622010062.6563427,39092,-20.0
1622010098.3788424,40271,-20.0
1622010118.2627347,40953,-20.0
1622010126.015654,41227,-20.0
1622010127.1525795,41271,-20.0
1622010129.3165147,41352,-20.0
1622010140.8338265,41791,-20.0
1622010141.2583756,41807,-20.0
1622010146.6591988,42009,-20.0
1622010149.1112156,42104,-20.0
1622010161.7835877,42577,-20.0
1622010168.6915143,42843,-20.0
1622010237.0033162,45449,-20.0
1622010261.906935,46378,-20.0
1622010426.9285111,52220,188.89999389648438
1622010794.7076402,64633,-20.0
1622010817.1493409,65415,-1.0
1622011069.4297874,73854,193.3000030517578
1622011373.2484305,84158,187.3000030517578
1622011634.0249555,92781,-20.0
1622011663.537399,93734,-20.0
1622011669.318221,93923,192.0
1622011673.6792865,94071,-20.0
1622011885.4415002,101086,-20.0
1622012441.4517808,119409,-20.0
1622012937.6542153,135633,-20.0
1622012946.2715788,135920,-20.0
1622013116.375639,141595,-20.0
1622013374.2481334,150298,-20.0
1622013535.427663,155670,-20.0
1622013610.2617967,158169,-1.0
1622013640.4773707,159179,190.3000030517578
1622013970.77655,170133,-20.0
1622014107.143056,174755,-20.0
1622014166.6124625,176674,-20.0
1622014347.0630758,182729,-20.0
1622014550.8854454,189485,-20.0
1622014816.6724327,198328,-20.0
1622014901.0053804,201140,-20.0
1622014909.3071654,201404,-20.0
1622015246.0755515,212621,-20.0
1622015251.566187,212801,192.0
1622015475.0152109,220211,-1.0
1622015785.7453804,230615,-20.0
1622015849.9575884,232781,-20.0
1622015924.957435,235294,191.6999969482422
1622016396.3714674,251040,-20.0
1622016401.9365642,251220,192.0
1622016435.8790329,252369,-20.0
