Wall time,Step,Value
1618752401.8028052,1144,-20.0
1618752449.0841389,3876,-20.0
1618752475.9869084,5328,-20.0
1618752624.125371,12324,-20.0
1618752647.4751847,13422,-20.0
1618752663.6848505,14164,-20.0
1618752665.462449,14242,-20.0
1618752684.5910935,15105,-20.0
1618752691.1333842,15404,-20.0
1618752724.8298972,16982,-20.0
1618752768.7930286,18975,-20.0
1618752875.622275,23986,-20.0
1618753039.5082169,31625,-20.0
1618753059.777591,32539,-20.0
1618753061.7213483,32625,-20.0
1618753080.6717098,33481,-20.0
1618753237.001062,40768,-20.0
1618753238.0307727,40816,-20.0
1618753285.3634315,42991,-20.0
1618753301.8960934,43772,-20.0
1618753355.8937159,46316,-20.0
1618753506.248375,53557,-20.0
1618753553.52445,55847,-20.0
1618753607.934209,58430,-20.0
1618753608.626269,58463,-20.0
1618753709.3428872,63349,-20.0
1618753856.9337556,70327,-20.0
1618753943.803604,74430,-20.0
1618753959.209313,75187,-20.0
1618753986.9740508,76502,-1.0
1618754139.1063075,83831,-20.0
1618754139.5275154,83850,-20.0
1618754156.6117978,84652,-20.0
1618754249.1842146,89216,-20.0
1618754292.2344072,91228,-20.0
1618754496.2977912,101120,-20.0
1618754534.6728823,102982,-20.0
1618754584.457681,105389,-20.0
1618754589.8993406,105645,-20.0
1618754677.2392335,109900,-20.0
1618754824.0607538,116728,-20.0
1618754887.0208304,119737,-20.0
1618755011.7968597,125891,-20.0
1618755016.290403,126102,-20.0
1618755226.421494,136318,-20.0
1618755297.6396065,139704,-20.0
1618755324.327794,141015,-20.0
1618755355.9331026,142481,-20.0
1618755449.555411,146941,-20.0
1618755456.4675612,147262,-20.0
1618755680.8323708,157919,-20.0
1618755703.7046068,159086,-20.0
1618755758.48408,161647,-20.0
1618755797.232269,163425,-20.0
1618755876.7848437,167092,-20.0
1618755999.4109588,172886,-20.0
1618756000.0556536,172915,-20.0
1618756145.885775,179926,-20.0
1618756166.7554474,180961,-20.0
1618756295.2158592,187283,-20.0
1618756355.0573616,190194,-20.0
1618756369.813205,190888,-20.0
1618756476.8158274,195980,-20.0
1618756480.9410994,196177,-20.0
1618756693.2064302,206561,-20.0
1618756713.564256,207519,-20.0
1618756876.2268088,215433,-20.0
1618757005.815001,221861,-20.0
1618757043.8483026,223707,-20.0
1618757047.4346213,223872,-20.0
1618757112.5069892,227035,-20.0
1618757429.622051,242343,-20.0
1618757475.5063088,244614,-20.0
1618757499.9674096,245821,-20.0
1618757540.784219,247815,-20.0
1618757612.5397158,251257,-20.0
1618757664.9735565,253806,-20.0
1618757665.7869499,253843,-20.0
1618757697.6261768,255413,-20.0
1618757726.470422,256835,-20.0
1618757765.5074902,258698,-20.0
1618758018.0749552,271218,-20.0
1618758028.9465644,271724,-20.0
1618758069.4738557,273628,-20.0
1618758103.7449062,275267,-20.0
1618758176.4486856,278683,-20.0
1618758178.2641213,278769,-20.0
1618758295.5062056,284590,-20.0
1618758366.4553287,288098,-20.0
1618758658.6606994,302324,-20.0
1618758727.9204304,305658,-20.0
1618758736.5589035,306066,-20.0
1618758949.937626,316286,-20.0
1618758966.1479037,317105,-20.0
1618759058.9415739,321652,-20.0
1618759231.8497374,329954,-20.0
1618759255.0719411,331043,-20.0
1618759271.0594916,331796,-20.0
1618759329.47299,334615,-20.0
1618759425.5645573,339302,-20.0
1618759445.391428,340281,-20.0
1618759484.079577,342107,-20.0
1618759536.0106606,344653,-20.0
1618759814.167434,358111,-20.0
1618759934.5518425,363870,-20.0
1618760086.2534153,371184,-20.0
1618760179.6421757,375672,-20.0
1618760417.6027095,387175,-20.0
1618760511.6808062,391710,-20.0
1618760523.3595018,392263,-20.0
