Wall time,Step,Value
1652242734.5967805,292,-20.0
1652242749.7333882,732,-20.0
1652242751.9474156,799,-20.0
1652242765.1068447,1257,-20.0
1652242777.9070144,1642,-20.0
1652242814.188599,2678,-20.0
1652242816.1468914,2729,-20.0
1652242821.677872,2906,-20.0
1652242857.6164742,3903,-20.0
1652242859.7864347,3978,-20.0
1652242869.9349456,4307,-20.0
1652242877.131259,4491,-20.0
1652242882.7387507,4669,-20.0
1652242910.774741,5464,-20.0
1652242911.8661392,5507,-20.0
1652242918.8029256,5692,-20.0
1652242935.501017,6264,-20.0
1652242947.8877184,6646,-20.0
1652242979.469291,7546,-20.0
1652243006.2258408,8334,-20.0
1652243016.3349233,8584,-20.0
1652243052.524129,9622,-20.0
1652243067.4159927,9978,-20.0
1652243090.505697,10626,-1.0
1652243114.2495122,11281,-1.0
1652243116.1075046,11333,-1.0
1652243252.502181,15114,-1.0
1652243286.4377623,16049,-1.0
1652243316.9101498,16939,-1.0
1652243366.7363832,18387,-1.0
1652243391.6398988,19069,-1.0
1652243550.508051,23605,-1.0
1652243596.8242218,24825,-20.0
1652243625.8203015,25665,-1.0
1652243713.524469,28365,-1.0
1652243717.6679711,28479,-1.0
1652243722.520674,28609,-1.0
1652243758.5505779,29695,-1.0
1652243778.1585157,30246,-1.0
1652243809.5722377,31210,-1.0
1652243850.0695994,32452,-1.0
1652243866.1217523,32924,-20.0
1652244019.3019657,37627,-1.0
1652244343.4800158,47515,-20.0
1652244396.3081465,49118,-20.0
1652244398.8851683,49180,-20.0
1652244414.8745902,49643,-20.0
1652244435.4378371,50155,-20.0
1652244542.4081967,53347,-20.0
1652244557.6129982,53807,-20.0
1652244646.2912955,56215,-20.0
1652244890.1631877,63192,-1.0
1652244908.455465,63707,-20.0
1652244952.8454463,64989,-1.0
1652245056.9087374,68024,-1.0
1652245099.9527645,69242,-20.0
1652245126.2533252,70008,-1.0
1652245558.679001,82542,-20.0
1652245587.913913,83398,-1.0
1652245602.308837,83790,-20.0
1652245682.548358,86323,-20.0
1652245734.7229457,87818,-20.0
1652246012.6099024,95904,-1.0
1652246081.058248,97801,-20.0
1652246457.0078688,108824,-20.0
1652246462.8611593,108975,-1.0
1652246544.7561731,111305,-1.0
1652246562.768398,111879,-1.0
1652246853.3898854,120388,-1.0
1652246883.2167397,121232,-1.0
1652247032.1084638,125378,-20.0
1652247113.7826989,127707,-20.0
1652247166.1869054,129249,-1.0
1652247430.141352,136832,-20.0
1652247477.9363203,138195,-1.0
1652247538.0459926,139983,-1.0
1652247625.7896013,142499,-1.0
1652247700.2524536,144626,-1.0
1652247750.3469012,145997,-20.0
1652247820.1574357,148061,-1.0
1652247828.415607,148302,-1.0
1652247927.2443008,151352,-1.0
1652248116.4777858,157051,-1.0
1652248336.3452864,163803,-20.0
1652248365.9465108,164638,-1.0
1652248398.068396,165695,-20.0
1652248421.6775224,166429,-20.0
1652248451.114585,167179,-20.0
1652248524.3940625,169332,-20.0
1652248529.4849374,169492,-1.0
1652248537.6889858,169721,-1.0
1652248737.4287453,175712,-1.0
1652249138.0284111,187178,-1.0
1652249309.8867757,192046,-1.0
1652249339.196898,192901,-1.0
1652249435.8501923,195717,-1.0
1652249441.4417577,195918,-1.0
1652249464.8925483,196599,-1.0
1652249588.55309,200112,-20.0
1652249649.029933,201972,-1.0
1652249677.2247982,202827,-1.0
1652249681.8282788,203005,-1.0
1652249810.3981135,206912,-20.0
1652249855.9040303,208296,-1.0
1652249925.907763,210384,-1.0
1652250066.0993123,214802,-20.0
1652250071.4374714,214995,-1.0
1652250074.8903708,215085,-1.0
1652250097.876778,215788,-1.0
1652250112.9962656,216242,-1.0
1652250134.673947,216814,-1.0
1652250231.4401057,219878,-1.0
1652250243.9677727,220237,-1.0
